corsair's bride,1830
fortunes of perkin warbeck,1830
"mystic events: or, the vision of the taperstry ",1830
"sir ethelbert: or, the dissolution of the monasteries",1830
alibeg the tempter ,1831
crotchet castle,1831
"algerians: or, the twins of naples ",1832
fitzallan,1832
"klasterheim: or, the masque ",1832
lodore,1835
episodes of vathek ,1912
"bloody hand: or, the fatal cup ",
castle of st.gerald,
"clairville castle: or,the history of albert and emma ",
"lucretia: or,the robbers of the hyrcanean forest ",
"midnight monitor: or, solemn warnings from the invisible world",
"monastery of st.mary: or, the white maid of avenel ",
mystery of the black convent,
priory of the alba and the castle on the cliffs ,
"romano castle: or, the horrors of the forst ",
"ruffian boy: or, the castle of waldemar",
"spectre of the turret: or, guolto castle ",
